taxon,lineage,probability,pangoLEARN_version,status,note
_SRR13020990_small.158,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.159,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.160,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.161,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.162,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.163,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.164,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.165,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.166,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.167,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.168,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.169,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.170,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.171,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.172,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.173,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.174,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.175,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.176,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.177,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.178,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.179,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.180,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.181,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.182,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.183,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.184,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.185,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.186,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.187,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.188,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.189,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.190,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.191,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.192,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.193,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.194,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.195,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.196,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.197,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.198,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.199,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.200,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.201,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.202,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.203,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.204,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.205,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.206,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.207,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.208,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.209,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.210,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.211,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.212,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.213,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.214,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.215,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.216,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.217,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.218,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.219,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.220,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.221,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.222,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.223,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.224,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.225,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.226,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.227,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.228,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.229,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.230,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.231,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.232,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.233,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.234,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.235,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.236,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.237,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.238,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.239,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.240,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.241,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.242,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.243,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.244,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.245,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.246,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.247,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.248,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.249,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.250,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.251,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.252,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.253,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.254,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.255,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.256,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.257,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.258,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.259,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.260,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.261,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.262,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.263,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.264,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.265,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.266,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.267,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.268,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.269,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.270,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.271,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.272,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.273,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.274,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.275,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.276,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.277,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.278,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.279,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.280,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.281,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.282,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.283,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.284,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.285,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.286,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.287,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.288,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.289,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.290,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.291,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.292,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.293,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.294,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.295,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.296,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.297,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.298,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.299,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.300,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.301,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.302,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.303,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.304,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.305,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.306,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.307,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.308,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.309,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.310,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.311,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.312,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.313,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.314,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.315,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.316,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.317,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.318,None,0,2021-02-21,fail,seq_len:2584
_SRR13020990_small.319,None,0,2021-02-21,fail,seq_len:2584
