taxon,lineage,probability,pangoLEARN_version,status,note
_ERR4364007.174,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.175,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.176,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.177,B.1.1.307,1.0,2021-02-21,passed_qc,
_ERR4364007.178,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.179,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.180,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.181,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.182,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.183,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.184,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.185,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.186,D.2,1.0,2021-02-21,passed_qc,
_ERR4364007.187,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.188,B.1,1.0,2021-02-21,passed_qc,
_ERR4364007.189,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.190,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.191,B.1.1.227,1.0,2021-02-21,passed_qc,
_ERR4364007.192,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.193,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.194,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.195,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.196,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.197,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.198,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.199,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.200,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.201,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.202,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.203,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.204,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.205,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.206,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.207,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.208,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.209,B.1.1.289,1.0,2021-02-21,passed_qc,
_ERR4364007.210,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.211,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.212,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.213,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.214,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.215,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.216,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.217,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.218,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.219,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.220,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.221,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.222,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.223,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.224,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.225,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.226,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.227,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.228,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.229,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.230,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.231,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.232,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.233,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.234,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.235,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.236,B.1.1.39,1.0,2021-02-21,passed_qc,
_ERR4364007.237,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.238,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.239,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.240,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.241,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.242,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.243,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.244,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.245,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.246,B.1.1.38,1.0,2021-02-21,passed_qc,
_ERR4364007.247,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.248,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.249,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.250,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.251,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.252,B.1.1.279,1.0,2021-02-21,passed_qc,
_ERR4364007.253,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.254,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.255,B.1.1.170,1.0,2021-02-21,passed_qc,
_ERR4364007.256,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.257,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.258,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.259,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.260,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.261,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.262,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.263,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.264,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.265,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.266,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.267,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.268,B.1.1.312,1.0,2021-02-21,passed_qc,
_ERR4364007.269,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.270,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.271,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.272,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.273,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.274,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.275,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.276,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.277,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.278,B.1.1.309,1.0,2021-02-21,passed_qc,
_ERR4364007.279,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.280,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.281,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.282,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.283,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.284,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.285,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.286,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.287,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.288,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.289,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.290,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.291,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.292,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.293,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.294,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.295,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.296,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.297,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.298,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.299,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.300,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.301,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.302,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.303,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.304,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.305,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.306,B.1.1.312,1.0,2021-02-21,passed_qc,
_ERR4364007.307,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.308,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.309,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.310,B.1.1.70,1.0,2021-02-21,passed_qc,
_ERR4364007.311,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.312,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.313,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.314,B.1.1.296,1.0,2021-02-21,passed_qc,
_ERR4364007.315,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.316,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.317,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.318,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.319,B.1.1.1,1.0,2021-02-21,passed_qc,
_ERR4364007.320,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.321,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.322,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.323,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.324,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.325,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.326,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.327,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.328,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.329,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.330,B.1.1.281,1.0,2021-02-21,passed_qc,
_ERR4364007.331,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.332,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.333,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.334,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.335,B.1.1.29,1.0,2021-02-21,passed_qc,
_ERR4364007.336,B.1.1.29,1.0,2021-02-21,passed_qc,
